time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
325,0,4568,24
328,0,44568,32
537,0,44627,45
539,0,45099,61
547,0,49195,69
550,0,49195,69
550,0,45099,61
551,0,44627,45
551,0,40531,37
551,0,40059,21
551,0,40000,8
551,0,0,0
