time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
331,0,4004568,32
889,0,4004576,48
955,0,5308024,311888
987,0,6282032,504624
1036,0,7395388,774140
1094,0,9274884,1108996
1136,0,10069984,1265432
1200,0,12545432,1631560
1264,0,14410568,2032400
1296,0,15236728,2218456
1343,0,16763208,2497632
1381,0,16921320,2530592
1431,0,17992096,2786136
1487,0,19666492,3135948
1543,0,22887912,3439432
1599,0,24443524,3781284
1637,0,25392156,4003748
1693,0,27267584,4339800
1749,0,28871816,4676000
1812,0,31364980,5048956
1883,0,31411152,5061368
1928,0,32300640,5228840
1984,0,33681272,5562424
2012,0,34750436,5726524
2063,0,35948344,6005640
2119,0,37492556,6330156
2148,0,41907416,6435480
2199,0,42974580,6690372
2255,0,44516532,7035556
2311,0,46393484,7368812
2367,0,47970088,7699592
2423,0,49372960,8039528
2472,0,51511928,8320728
2528,0,52956808,8633360
2556,0,53664384,8790584
2601,0,54985196,9008484
2657,0,56531864,9333840
2713,0,58858840,9653192
2769,0,61059500,9948516
2797,0,61937016,10114408
2936,0,61962288,10122104
2985,0,62339176,10213920
3041,0,64084436,10525772
3097,0,65446464,10852360
3153,0,67044148,11179732
3209,0,69300804,11492004
3265,0,70927276,11855948
3335,0,73212508,12274196
3342,0,73236832,12281800
3349,0,73403700,12326588
3356,0,73610576,12372952
3363,0,73790012,12420380
3370,0,73941264,12468336
3377,0,74315836,12506356
3384,0,74481180,12550308
3391,0,74681656,12594320
3398,0,74847268,12641660
3407,0,75085976,12678600
3414,0,75152644,12696684
3421,0,75335776,12745280
3428,0,75525916,12789932
3435,0,75701704,12836424
3442,0,76810264,12870848
3449,0,79810264,12870864
3458,0,83810264,12870872
3476,0,83810326,12870882
3486,0,83814894,12870906
3489,0,83814894,12870906
