time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
329,0,4004568,32
1056,0,4004576,48
1088,0,4522356,136420
1125,0,5324604,316540
1169,0,6795580,620652
1233,0,8714200,995992
1290,0,10069984,1265432
1354,0,12668908,1660252
1418,0,14588196,2079868
1450,0,15418116,2267012
1486,0,16721492,2487028
1524,0,16921320,2530592
1581,0,18396892,2835972
1645,0,21957512,3218576
1709,0,23881324,3638812
1773,0,25943848,4022176
1837,0,27822428,4428620
1901,0,30441584,4830920
1933,0,31321196,5034012
2004,0,31411152,5061368
2054,0,32443220,5273188
2118,0,34572676,5679692
2182,0,36340652,6051668
2214,0,37269056,6268512
2248,0,41907416,6435480
2312,0,43460728,6814648
2376,0,45372128,7230520
2440,0,47384268,7601428
2504,0,49195876,7993524
2568,0,51753312,8374368
2632,0,53555872,8758680
2664,0,54787292,8954292
2696,0,55438976,9104032
2728,0,56368188,9290556
2784,0,57835936,9643992
2809,0,60160228,9739892
2865,0,61842296,10091712
3015,0,61962288,10122104
3049,0,61962408,10122120
3081,0,62891028,10338940
3113,0,64138088,10540144
3145,0,64995876,10736436
3177,0,66011312,10944528
3209,0,66860024,11136400
3241,0,68591752,11337360
3273,0,69496624,11544992
3305,0,70440464,11731920
3353,0,71791408,12053848
3361,0,72322416,12066448
3369,0,72477868,12116476
3377,0,72727520,12167256
3385,0,72933712,12224848
3393,0,73223308,12278708
3401,0,73421856,12331424
3409,0,73653544,12386896
3417,0,73849008,12440280
3425,0,74249560,12488552
3433,0,74436832,12539136
3441,0,74601356,12571820
3449,0,74732324,12611964
3457,0,74899244,12656820
3465,0,75119864,12688736
3473,0,75314500,12742196
3481,0,75537432,12794904
3489,0,75757964,12852052
3498,0,79810264,12870864
3516,0,83810326,12870882
3525,0,83814894,12870906
3532,0,83814894,12870906
