time,stack,heap,heap_extra
0,0,0,0
325,0,472,16
333,0,404568,32
406,0,404576,48
414,0,553788,45500
422,0,669996,86100
426,0,756152,100816
430,0,810944,119048
434,0,877816,136200
438,0,918084,150644
442,0,969248,166472
446,0,985272,172752
450,0,1111504,184824
454,0,1193752,211584
458,0,1312304,245872
462,0,1437088,273872
466,0,1559636,309812
472,0,1659896,344336
476,0,1908084,363444
480,0,2022772,395564
484,0,2120460,428628
488,0,2259276,460572
492,0,2368496,493112
496,0,2457792,524680
503,0,2713508,573548
507,0,2801192,601616
511,0,2929072,633936
517,0,3095396,681708
525,0,3111064,688272
529,0,3542432,700088
533,0,3622856,727424
537,0,3720720,756056
541,0,3806824,785808
545,0,3947664,818632
549,0,4072604,853180
553,0,4233596,878356
557,0,4332860,912172
561,0,4446608,944040
565,0,4577096,974936
569,0,4671488,1006272
573,0,4771896,1034456
577,0,5032760,1059488
581,0,5129804,1092212
585,0,5244808,1124520
589,0,5376684,1156356
593,0,5484132,1186068
597,0,5574724,1215772
601,0,5745952,1244424
605,0,5856264,1274896
609,0,5910000,1291504
613,0,6023308,1317732
617,0,6119176,1349800
634,0,6210736,1376552
639,0,6210744,1376568
643,0,7080280,1400104
654,0,7084914,1400150
657,0,7084914,1400150
