time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
326,0,4568,24
329,0,44568,32
339,0,44576,48
340,0,70892,11548
341,0,83036,16884
342,0,104176,23808
343,0,121796,30156
344,0,135680,36760
345,0,165728,42936
346,0,175776,47544
347,0,186448,50936
348,0,199132,57116
349,0,221068,63292
350,0,236344,69456
351,0,248948,75196
352,0,297292,80252
353,0,297312,80272
353,0,308876,85660
354,0,308896,85680
354,0,322816,91224
355,0,322836,91244
355,0,331456,94944
356,0,331464,94960
356,0,348772,99412
357,0,348780,99428
357,0,360052,104820
358,0,360060,104836
358,0,370408,108440
359,0,370416,108456
359,0,380036,112692
360,0,380072,112712
360,0,407792,117304
361,0,407804,117316
361,0,419080,122720
362,0,419088,122736
362,0,431768,127344
363,0,431808,127360
363,0,442540,132436
364,0,442560,132456
364,0,460476,137228
365,0,460484,137244
365,0,470060,141436
366,0,470080,141456
366,0,482916,146204
367,0,482996,146212
367,0,492616,150704
368,0,492772,150716
368,0,509032,154368
369,0,519032,154376
369,0,539032,154384
369,0,579032,154392
369,0,579100,154412
371,0,579572,154428
380,0,583668,154436
383,0,583668,154436
383,0,579572,154428
384,0,579100,154412
384,0,575004,154404
384,0,574532,154388
384,0,574464,154368
384,0,534464,154360
