time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
326,0,4568,24
329,0,24568,32
334,0,24576,48
335,0,24588,60
335,0,37100,6156
336,0,37120,6176
336,0,54604,13300
337,0,54612,13316
337,0,78488,20648
338,0,78528,20664
338,0,92432,27296
339,0,92440,27312
339,0,110408,33952
340,0,110416,33968
340,0,140344,39976
341,0,140356,39988
341,0,154296,46672
342,0,154316,46692
342,0,161988,48612
343,0,161996,48628
343,0,175016,55000
344,0,175024,55016
344,0,195640,61112
345,0,195648,61128
345,0,208480,67464
346,0,208556,67476
346,0,225256,73488
347,0,225272,73496
347,0,231680,76896
347,0,231688,76912
347,0,231700,76924
347,0,231708,76940
347,0,231728,76960
347,0,231768,76976
347,0,231776,76992
347,0,231788,77004
347,0,231796,77020
347,0,231816,77040
347,0,231824,77056
347,0,231832,77072
347,0,231848,77080
347,0,231884,77100
347,0,231960,77112
347,0,232116,77124
347,0,232428,77140
347,0,233052,77148
347,0,234300,77156
347,0,236800,77176
347,0,241800,77192
347,0,251800,77200
347,0,271800,77208
348,0,271864,77216
349,0,272336,77232
357,0,276432,77240
360,0,276432,77240
360,0,272336,77232
361,0,271864,77216
361,0,267768,77208
361,0,267296,77192
361,0,267232,77184
361,0,247232,77176
