time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
327,0,3004568,32
807,0,3004576,48
839,0,3519812,156012
874,0,4415484,350476
931,0,6157680,742136
963,0,7298884,1002124
1009,0,9238352,1340112
1059,0,10176424,1592304
1123,0,12335412,2063420
1186,0,14031376,2490184
1231,0,16564360,2777360
1265,0,16646464,2802184
1297,0,17308900,2977844
1329,0,18368792,3224216
1361,0,19507240,3452744
1393,0,20513032,3679776
1425,0,21344076,3908036
1457,0,22730036,4093724
1489,0,23537004,4315228
1521,0,24338412,4506316
1553,0,25506940,4724396
1585,0,26323816,4940168
1617,0,27112976,5126280
1661,0,30907424,5344712
1693,0,31717332,5567932
1767,0,31861472,5604616
1816,0,32669200,5797208
1848,0,33880872,6032256
1880,0,34700172,6254828
1942,0,36300012,6650260
1974,0,37783872,6853488
2006,0,38658776,7065824
2038,0,39528784,7298648
2070,0,40560152,7499104
2102,0,41564948,7725772
2134,0,42407728,7952352
2166,0,44405948,8101756
2198,0,45242824,8331808
2230,0,46158592,8535016
2262,0,47273056,8763376
2294,0,48143924,8993028
2326,0,49075604,9199940
2358,0,50448556,9394908
2390,0,51220036,9602988
2422,0,52155528,9821592
2455,0,52741052,9975460
2487,0,53760528,10171072
2543,0,55360228,10555548
2551,0,55438796,10578548
2559,0,55645596,10636412
2567,0,55997764,10689364
2580,0,61810264,10689416
2592,0,61810324,10689428
2602,0,61814892,10689452
2605,0,61814892,10689452
