time,stack,heap,heap_extra
0,0,0,0
324,0,472,16
331,0,1004568,32
508,0,1004576,48
524,0,1278772,76524
540,0,1524492,137316
556,0,1742108,196852
564,0,2020252,246124
572,0,2308280,312056
580,0,2473008,354376
588,0,2913148,415332
596,0,3128056,476240
605,0,3408256,543280
613,0,3682960,603320
622,0,3840676,632692
630,0,3976868,669124
638,0,4239908,731028
646,0,4465676,794004
654,0,5119088,843416
662,0,5334404,904596
670,0,5595756,960388
678,0,5903648,1018416
686,0,6101924,1073540
694,0,6325784,1125144
708,0,6861352,1206656
716,0,7053956,1259900
731,0,7069984,1265416
739,0,7172968,1294944
747,0,7453760,1358096
755,0,7754852,1415996
763,0,7979120,1478376
771,0,8229232,1536240
784,0,9480288,1608888
792,0,9675112,1662464
800,0,9913808,1720496
808,0,10115872,1774880
816,0,10371496,1817240
824,0,10591312,1878808
832,0,10846772,1937732
840,0,11051680,1994560
848,0,11446292,2041164
856,0,11663824,2100608
864,0,11903692,2158788
872,0,12095216,2211304
880,0,12411768,2264336
888,0,12561880,2311664
896,0,12830212,2369324
904,0,13480280,2418648
912,0,13694472,2476584
920,0,13902452,2525428
952,0,13921320,2530576
961,0,13921352,2530584
968,0,14112084,2582804
975,0,14396544,2633288
982,0,14536980,2669124
989,0,14744868,2714956
996,0,14890432,2760648
1003,0,15077040,2810864
1010,0,15457648,2853184
1017,0,15634956,2900524
1024,0,15803696,2937656
1031,0,15980776,2984824
1038,0,16234300,3025996
1045,0,16415800,3074640
1052,0,16625828,3122388
1059,0,16802348,3168436
1066,0,16952364,3215724
1074,0,18956061,3217739
1084,0,18960629,3217763
1087,0,18960629,3217763
