time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
330,0,3004568,32
854,0,3004576,48
886,0,3499780,147340
919,0,4407672,347384
952,0,5244028,577428
1016,0,7080028,989636
1058,0,8398840,1306432
1122,0,10225956,1608004
1186,0,12354424,2067440
1250,0,14272004,2545340
1286,0,16523780,2766196
1322,0,16646464,2802184
1379,0,18055704,3151672
1443,0,20156168,3623280
1475,0,21152608,3847944
1507,0,22637860,4075036
1539,0,23504584,4303040
1571,0,24315808,4498432
1603,0,25513728,4727488
1635,0,26365456,4953672
1667,0,27393008,5188864
1700,0,30972472,5367248
1732,0,31779772,5589028
1804,0,31861472,5604616
1836,0,32376380,5715140
1868,0,33293612,5960228
1900,0,34517372,6198572
1932,0,35447668,6428660
1969,0,36300012,6650260
2001,0,37852716,6877684
2033,0,38825840,7109016
2065,0,39870984,7348952
2097,0,40897896,7580728
2129,0,41825908,7803156
2162,0,44108848,8017072
2194,0,44891116,8230212
2226,0,45864940,8466828
2258,0,47040396,8688172
2290,0,47811748,8896228
2322,0,48741040,9119528
2354,0,49521260,9331260
2386,0,50980788,9524564
2418,0,51888740,9748916
2461,0,52741052,9975460
2493,0,53899008,10189304
2525,0,54733228,10392804
2557,0,55583148,10615508
2590,0,61810327,10689425
2604,0,61814895,10689449
2608,0,61814895,10689449
