time,stack,heap,heap_extra
0,0,0,0
325,0,472,16
332,0,404568,32
407,0,404576,48
415,0,550684,43772
423,0,668196,85380
427,0,754880,99992
431,0,809368,118288
435,0,876872,135680
439,0,919580,151556
443,0,968352,165992
447,0,988352,174288
451,0,1112884,185652
455,0,1196184,212888
459,0,1318772,247948
463,0,1443984,277136
467,0,1570452,314388
473,0,1659896,344336
477,0,1911604,364900
481,0,2036024,400784
485,0,2190736,437552
489,0,2297796,475292
493,0,2423636,511644
497,0,2594868,539188
504,0,2784508,596148
508,0,2914808,628104
514,0,3088964,678812
520,0,3111064,688272
524,0,3342424,700064
528,0,3618284,726380
532,0,3719976,755448
536,0,3808364,786540
540,0,3957992,821168
544,0,4081260,857292
548,0,4249680,885080
552,0,4346680,917760
556,0,4462872,950872
560,0,4595960,983008
564,0,4711708,1015788
568,0,4797564,1044212
572,0,5078832,1072448
576,0,5190436,1106172
580,0,5329916,1138452
584,0,5427720,1171696
588,0,5530596,1203140
592,0,5705660,1229956
596,0,5800164,1261396
601,0,5896148,1290436
605,0,6015280,1313928
609,0,6111296,1346080
626,0,6210736,1376552
630,0,6210744,1376568
634,0,6330280,1400072
645,0,7084906,1400142
649,0,7084906,1400142
