time,stack,heap,heap_extra
0,0,0,0
322,0,472,16
330,0,2004568,32
686,0,2004576,48
718,0,2538616,140600
749,0,3304636,310988
765,0,3887052,408332
782,0,4365448,528840
810,0,5000964,677868
842,0,6405108,908268
858,0,6934052,1030284
881,0,7552712,1186256
906,0,8069984,1265416
922,0,8412068,1353132
938,0,8970492,1475548
954,0,9429464,1590888
970,0,10753844,1685020
986,0,11132268,1780572
1002,0,11652200,1896168
1018,0,12007864,1982744
1034,0,12627032,2089168
1050,0,13053604,2197588
1066,0,13563436,2312524
1082,0,14468144,2413296
1098,0,14872896,2513832
1133,0,14921320,2530560
1158,0,15427844,2640732
1174,0,15836496,2743120
1190,0,16453084,2852620
1206,0,16888096,2962232
1222,0,17403644,3070052
1238,0,17819624,3174608
1254,0,20055260,3249052
1270,0,20472540,3353476
1286,0,20892416,3441024
1302,0,21236544,3521256
1318,0,21843640,3626952
1334,0,22282132,3739156
1350,0,22756816,3841576
1366,0,23199104,3951872
1382,0,23443084,4021420
1398,0,24286016,4122416
1414,0,24836228,4231060
1430,0,25264564,4338868
1446,0,25860228,4440588
1462,0,26262252,4540492
1478,0,26736432,4643648
1494,0,27111960,4734720
1511,0,28431712,4826592
1535,0,29063664,4990848
1543,0,29168796,5023132
1616,0,29411152,5061336
1632,0,29411160,5061352
1640,0,29598972,5112052
1648,0,29852548,5173460
1656,0,30300640,5228792
1664,0,30497380,5283436
1672,0,30747812,5343596
1680,0,30954056,5401256
1688,0,31216372,5444788
1696,0,31378700,5487500
1704,0,31621960,5545920
1712,0,31822044,5600452
1720,0,32437972,5637908
1728,0,32636584,5693144
1736,0,32871340,5747548
1744,0,33077416,5805080
1752,0,33385640,5860848
1760,0,33575108,5912260
1768,0,33811244,5969236
1781,0,33948344,6005608
1789,0,34340380,6051516
1797,0,34535816,6104408
1805,0,34762568,6158312
1813,0,34983400,6215696
1821,0,35269356,6268692
1829,0,35472308,6322660
1837,0,35699632,6376960
1845,0,35888988,6428244
1858,0,39907477,6435443
1869,0,39912045,6435467
1872,0,39912045,6435467
