time,stack,heap,heap_extra
0,0,0,0
328,0,472,16
336,0,2004568,32
662,0,2004576,48
694,0,2542180,141812
725,0,3307416,311640
741,0,3883952,406888
758,0,4347360,527216
778,0,4840676,632676
794,0,5261836,738948
810,0,6118472,843040
826,0,6588100,957348
842,0,7094108,1070380
858,0,7547252,1184444
884,0,8069984,1265416
913,0,8845928,1443296
929,0,9284016,1554216
945,0,10617504,1652168
966,0,11129712,1779408
982,0,11644304,1892944
998,0,12070348,1999708
1014,0,12668328,2102304
1030,0,13084224,2206768
1046,0,13553652,2308276
1062,0,14030636,2413236
1082,0,14895884,2522852
1115,0,14921320,2530560
1140,0,15399904,2634792
1156,0,15796396,2733004
1172,0,16424336,2841568
1188,0,16828872,2941968
1204,0,17313720,3048912
1220,0,17712612,3148132
1236,0,19956000,3217736
1252,0,20298380,3318140
1268,0,20691732,3413844
1284,0,21167812,3517740
1300,0,21824928,3619936
1316,0,22245236,3726732
1332,0,22706564,3825284
1348,0,23112976,3926432
1364,0,23392156,4003716
1380,0,24198864,4096416
1396,0,24629640,4201864
1412,0,25110136,4307208
1428,0,25492860,4399196
1444,0,26069612,4499660
1460,0,26465504,4596368
1476,0,26918884,4691884
1500,0,27931704,4826568
1508,0,28444704,4832328
1516,0,28641472,4885872
1524,0,28866216,4938832
1532,0,29067576,4992696
1540,0,29334048,5039608
1610,0,29411152,5061336
1627,0,29411160,5061352
1635,0,29594136,5109736
1643,0,29841384,5169552
1651,0,30049868,5228060
1659,0,30436636,5271460
1667,0,30705400,5329344
1675,0,30860184,5378968
1683,0,31039836,5426540
1691,0,31306956,5471924
1699,0,31510632,5528136
1707,0,31730424,5579072
1715,0,32169560,5630992
1723,0,32525072,5663840
1731,0,32718032,5716392
1739,0,32892220,5755380
1747,0,33106528,5811288
1755,0,33389780,5862732
1763,0,33573472,5911696
1771,0,33803036,5965844
1783,0,33948344,6005608
1791,0,34340068,6051300
1799,0,34532384,6102824
1807,0,34753768,6154672
1815,0,34940940,6205148
1823,0,35211740,6252300
1831,0,35412148,6307068
1839,0,35632744,6358392
1847,0,35829680,6410200
1856,0,37907416,6435424
1868,0,39907476,6435444
1878,0,39912044,6435468
1881,0,39912044,6435468
