time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,244568,32
370,0,244576,48
374,0,311116,24684
378,0,371320,40960
380,0,400684,50100
382,0,448376,60216
384,0,479100,70108
386,0,514568,79584
388,0,530128,85240
390,0,558984,94032
392,0,635664,102168
394,0,658200,110976
396,0,686568,119616
398,0,718948,128076
400,0,739328,135560
402,0,762296,143032
404,0,810416,150328
406,0,828864,157624
408,0,849684,164084
410,0,856712,166960
412,0,874024,173664
414,0,900388,178996
416,0,920308,186772
418,0,1019032,200432
420,0,1121484,215708
422,0,1179360,232840
424,0,1226056,249392
426,0,1295764,263724
428,0,1347612,279188
430,0,1398992,297384
433,0,1529236,323532
435,0,1553544,328560
437,0,1574192,336192
439,0,1650116,353436
441,0,1693592,368520
443,0,1753044,386468
445,0,2033496,400856
447,0,2059316,411212
449,0,2116804,426764
451,0,2163148,443068
453,0,2230820,458356
455,0,2276640,474400
457,0,2332964,489628
459,0,2425624,503544
461,0,2461216,515184
463,0,2514736,531664
466,0,2599984,551600
468,0,2640376,565584
470,0,2693832,582064
472,0,2743364,598740
474,0,2892392,610872
476,0,2950756,627020
478,0,2996660,643324
485,0,3058404,656772
487,0,3058640,656784
489,0,3102208,671184
491,0,3155860,687396
493,0,3255200,701480
495,0,3299836,717124
497,0,3353980,732972
499,0,3399716,749188
501,0,3471456,764432
503,0,3515624,776616
505,0,3553636,789700
507,0,4062424,801688
510,0,4062958,801714
518,0,4067054,801722
521,0,4067054,801722
