time,stack,heap,heap_extra
0,0,0,0
326,0,472,16
330,0,4568,24
334,0,124568,32
357,0,124576,48
358,0,148812,9476
359,0,167240,15448
360,0,183260,21276
361,0,210280,27064
362,0,225172,32548
363,0,244208,38040
364,0,250996,40708
365,0,261772,44716
366,0,276936,50080
367,0,314184,55056
368,0,328320,60200
369,0,345684,65412
370,0,359488,70384
371,0,377492,75156
372,0,395660,79828
373,0,403336,82360
374,0,414004,87020
375,0,425716,89476
376,0,439156,94164
377,0,449796,98852
378,0,516608,102696
379,0,529420,107116
380,0,539772,111516
381,0,554560,115744
382,0,567660,120148
383,0,577148,124220
384,0,599152,128216
385,0,610368,131592
386,0,614444,133660
387,0,623240,137568
388,0,638844,141308
389,0,649208,145056
390,0,658412,148956
391,0,694288,152280
392,0,702512,155792
393,0,712808,159616
394,0,727592,162840
395,0,729756,164148
396,0,732924,165628
397,0,744904,169480
398,0,752432,172728
399,0,755772,174332
400,0,776924,177732
401,0,785132,181404
402,0,789000,181696
403,0,813076,189772
404,0,837084,199084
405,0,968668,204868
406,0,981368,209712
407,0,1009196,219068
408,0,1044792,227488
409,0,1067128,236144
410,0,1090936,244040
411,0,1139992,251992
412,0,1162524,260412
413,0,1187220,268764
414,0,1200700,273508
415,0,1236216,281896
416,0,1261996,290916
417,0,1285948,300164
418,0,1364136,307640
419,0,1391240,316568
420,0,1412984,325392
422,0,1433544,328560
423,0,1433552,328576
424,0,1452464,335232
425,0,1477556,343812
426,0,1526608,351768
427,0,1549756,360612
428,0,1572724,367908
429,0,1607288,376168
430,0,1628960,385000
431,0,1655456,393616
432,0,1793496,400848
433,0,1913564,400876
434,0,1914036,400892
444,0,1918132,400900
447,0,1918132,400900
448,0,1913564,400876
