time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
327,0,2004568,32
652,0,2004576,48
684,0,2538024,140400
700,0,2743104,197344
718,0,3324604,316524
749,0,4347360,527216
770,0,4840676,632676
802,0,6126392,846264
834,0,7121052,1080748
858,0,7967856,1239640
875,0,8069984,1265416
891,0,8408036,1351172
907,0,8943480,1467360
923,0,9372168,1574712
939,0,10694072,1669552
955,0,11114936,1774400
971,0,11581956,1874780
987,0,12004168,1981616
1003,0,12600256,2083464
1019,0,13031772,2189740
1035,0,13493552,2287632
1051,0,13925900,2398948
1067,0,14746308,2491676
1106,0,14921320,2530560
1122,0,15119516,2584620
1138,0,15548740,2673148
1154,0,16017508,2790604
1170,0,16622164,2896468
1186,0,17042776,3002408
1202,0,17525488,3107208
1218,0,17944020,3212260
1234,0,20152636,3272276
1250,0,20565000,3374824
1266,0,21016504,3470080
1282,0,21430936,3574568
1298,0,22037872,3680232
1314,0,22442668,3780836
1330,0,22925460,3885412
1346,0,23311016,3980672
1362,0,23959404,4028404
1378,0,24366512,4129304
1394,0,24838424,4232032
1410,0,25259608,4336512
1426,0,25825424,4429840
1442,0,26243520,4534784
1458,0,26703816,4632624
1474,0,27130228,4739652
1500,0,28618620,4876996
1508,0,28668816,4894328
1516,0,28840608,4929160
1524,0,29036096,4983048
1532,0,29307976,5029816
1603,0,29411152,5061336
1621,0,29411160,5061352
1629,0,29599068,5112140
1637,0,29838716,5168948
1645,0,30039552,5223920
1653,0,30430224,5269000
1661,0,30594660,5312556
1669,0,30831584,5368040
1677,0,31036516,5425044
1685,0,31310420,5473548
1693,0,31514520,5529960
1701,0,31764092,5580708
1709,0,32419560,5631000
1717,0,32528244,5665252
1725,0,32720820,5717564
1733,0,32940036,5768484
1741,0,33110092,5812948
1749,0,33396816,5864784
1757,0,33577380,5913548
1765,0,33807852,5967676
1777,0,33948344,6005608
1785,0,34345620,6052540
1793,0,34536484,6104652
1801,0,34758928,6156584
1809,0,34973988,6212708
1817,0,35256192,6263952
1825,0,35407944,6305616
1833,0,35631172,6357884
1841,0,35829680,6410200
1850,0,37907416,6435424
1862,0,39907476,6435444
1871,0,39912044,6435468
1875,0,39912044,6435468
