time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,24568,32
332,0,24576,48
332,0,31452,3924
333,0,31532,3932
333,0,50988,11644
334,0,51008,11664
334,0,66216,18976
335,0,66228,18988
335,0,88908,25444
336,0,88928,25464
336,0,105692,32380
337,0,105732,32396
337,0,128184,38608
338,0,138184,38616
338,0,151612,45364
339,0,151620,45380
339,0,155776,47544
340,0,155784,47560
340,0,172264,53312
341,0,172272,53328
341,0,192380,59428
342,0,192388,59444
342,0,206028,65852
343,0,206036,65868
343,0,220980,71876
344,0,220988,71892
344,0,231660,76876
344,0,231680,76896
344,0,231688,76912
344,0,231700,76924
344,0,231708,76940
344,0,231728,76960
344,0,231768,76976
344,0,231776,76992
344,0,231788,77004
344,0,231796,77020
344,0,231816,77040
344,0,231824,77056
344,0,231832,77072
344,0,231848,77080
344,0,231884,77100
344,0,231960,77112
344,0,232116,77124
344,0,232428,77140
344,0,233052,77148
344,0,234300,77156
344,0,236800,77176
344,0,241800,77192
344,0,251800,77200
344,0,271800,77208
345,0,271865,77231
346,0,272337,77247
354,0,276433,77255
357,0,276433,77255
357,0,272337,77247
358,0,271865,77231
358,0,267769,77223
358,0,267297,77207
358,0,267232,77184
358,0,247232,77176
