time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
328,0,3004568,32
869,0,3004576,48
933,0,4401756,344564
988,0,6021912,700576
1052,0,8007072,1194176
1097,0,9432476,1401228
1129,0,10268216,1624456
1161,0,11348924,1878380
1193,0,12497960,2106480
1225,0,13538756,2344524
1257,0,14404472,2585480
1289,0,16581892,2784692
1323,0,16646464,2802184
1380,0,18103840,3166728
1412,0,19288200,3391504
1444,0,20175432,3631528
1476,0,21184896,3860248
1508,0,22673080,4088168
1540,0,23537004,4315228
1572,0,24444716,4512764
1604,0,25576040,4748520
1636,0,26429136,4970680
1696,0,30907424,5344712
1728,0,31682112,5554200
1801,0,31861472,5604616
1850,0,32939204,5856140
1882,0,34068124,6090404
1914,0,34939664,6320576
1965,0,36300012,6650260
1997,0,37847924,6875228
2029,0,38845064,7117488
2061,0,39671276,7343620
2093,0,40861936,7569336
2125,0,41787924,7789076
2157,0,43358840,8017048
2189,0,44891752,8230584
2221,0,45791916,8442804
2253,0,46629984,8673736
2285,0,47737208,8874920
2317,0,48649056,9100992
2349,0,49518984,9330096
2381,0,50844776,9507040
2413,0,51806388,9723740
2460,0,52741052,9975460
2492,0,53901472,10190624
2524,0,54741224,10396688
2556,0,55599324,10621076
2602,0,61814901,10689459
