time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
324,0,4568,24
327,0,124568,32
351,0,124576,48
352,0,146960,9320
353,0,167076,15332
354,0,183132,21180
355,0,209892,26828
356,0,225140,32540
357,0,244184,38016
358,0,251912,41360
359,0,262056,44936
360,0,288184,50112
361,0,314548,55268
362,0,328996,60468
363,0,345684,65412
364,0,359488,70384
365,0,373744,75136
366,0,394760,79744
367,0,403212,82300
368,0,414036,87060
369,0,425716,89476
370,0,439156,94164
371,0,449796,98852
372,0,516524,102620
373,0,529420,107116
374,0,539772,111516
375,0,554552,115728
376,0,567716,120212
377,0,577364,124396
378,0,601156,128500
379,0,611308,132236
380,0,621036,136252
381,0,634928,139952
382,0,643544,143712
383,0,652480,146664
384,0,659768,149664
385,0,695912,153232
386,0,707728,156968
387,0,715424,160280
388,0,729164,163772
389,0,729816,164160
390,0,736712,166960
391,0,747536,170640
392,0,755772,174332
393,0,775756,177132
394,0,781072,179272
395,0,791072,182912
396,0,791212,183004
397,0,817444,191396
398,0,869032,200424
399,0,975760,206720
400,0,986516,211452
401,0,1015216,220632
402,0,1048964,229052
403,0,1078016,237992
404,0,1097968,245808
405,0,1145424,253928
406,0,1167056,262664
407,0,1195108,271132
408,0,1204456,275384
409,0,1240592,284120
410,0,1267956,293204
411,0,1346400,300784
412,0,1368600,309912
413,0,1396248,319120
414,0,1432860,328116
416,0,1433544,328560
417,0,1438836,330428
418,0,1467028,339292
419,0,1490228,348172
420,0,1537552,356592
421,0,1565352,364832
422,0,1584216,372400
423,0,1618864,381320
424,0,1647428,390092
425,0,1671452,399404
426,0,1913561,400879
427,0,1914033,400895
435,0,1918129,400903
438,0,1918129,400903
439,0,1913561,400879
