time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,24568,32
331,0,24576,48
332,0,24588,60
332,0,36392,5928
333,0,36412,5948
333,0,54272,13256
334,0,54584,13272
334,0,78460,20612
335,0,78468,20628
335,0,88252,25276
336,0,88288,25296
336,0,105740,32412
337,0,105752,32424
337,0,123184,38592
338,0,128184,38608
338,0,150912,44920
339,0,150992,44928
339,0,156272,47848
340,0,156280,47864
340,0,172216,53248
341,0,172224,53264
341,0,192368,59416
342,0,192380,59428
342,0,205572,65604
343,0,205592,65624
343,0,220872,71776
344,0,220892,71796
344,0,231680,76896
344,0,231688,76912
344,0,231700,76924
344,0,231708,76940
344,0,231728,76960
344,0,231768,76976
344,0,231776,76992
344,0,231788,77004
344,0,231796,77020
344,0,231816,77040
344,0,231824,77056
344,0,231832,77072
344,0,231848,77080
344,0,231884,77100
344,0,231960,77112
344,0,232116,77124
344,0,232428,77140
344,0,233052,77148
344,0,234300,77156
344,0,236800,77176
344,0,241800,77192
344,0,251800,77200
344,0,271800,77208
345,0,271858,77222
346,0,272330,77238
354,0,276426,77246
357,0,276426,77246
357,0,272330,77238
358,0,271858,77222
358,0,267762,77214
358,0,267290,77198
358,0,267232,77184
358,0,247232,77176
