time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,4004568,32
4111439,0,4004628,44
4111440,0,4005100,60
4111449,0,4009196,68
4111452,0,4009196,68
4111452,0,4005100,60
4111453,0,4004628,44
4111453,0,4000532,36
4111453,0,4000060,20
4111453,0,4000000,8
4111453,0,0,0
