time,stack,heap,heap_extra
0,0,0,0
320,0,472,16
324,0,4568,24
327,0,404568,32
16544,0,404634,54
16546,0,405106,70
16554,0,409202,78
16557,0,409202,78
16557,0,405106,70
16558,0,404634,54
16558,0,400538,46
16558,0,400066,30
16558,0,400000,8
16558,0,0,0
