time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,124568,32
1524,0,124640,48
1525,0,125112,64
1533,0,129208,72
1536,0,129208,72
1536,0,125112,64
1537,0,124640,48
1537,0,120544,40
1537,0,120072,24
1537,0,120000,8
1537,0,0,0
